,Symbol,Name,Exchange,MarketCap
0,TXG,"10x Genomics, Inc.",NASDAQ,5010000000.0
1,YI,"111, Inc.",NASDAQ,372360000.0
2,PIH,"1347 Property Insurance Holdings, Inc.",NASDAQ,28260000.0
3,PIHPP,"1347 Property Insurance Holdings, Inc.",NASDAQ,17790000.0
4,TURN,180 Degree Capital Corp.,NASDAQ,65980000.00000001
5,FLWS,"1-800 FLOWERS.COM, Inc.",NASDAQ,879790000.0
6,BCOW,"1895 Bancorp of Wisconsin, Inc.",NASDAQ,48040000.0
7,FCCY,1st Constitution Bancorp (NJ),NASDAQ,165900000.0
8,SRCE,1st Source Corporation,NASDAQ,1300000000.0
9,VNET,"21Vianet Group, Inc.",NASDAQ,910380000.0
10,TWOU,"2U, Inc.",NASDAQ,1160000000.0
11,QFIN,"360 Finance, Inc.",NASDAQ,1290000000.0
12,JOBS,"51job, Inc.",NASDAQ,5140000000.0
13,JFK,8i Enterprises Acquisition Corp,NASDAQ,74050000.0
14,JFKKU,8i Enterprises Acquisition Corp,NASDAQ,53100000.0
15,JFKKW,8i Enterprises Acquisition Corp,NASDAQ,1840000.0
16,EGHT,8x8 Inc,NASDAQ,1960000000.0
17,JFU,9F Inc.,NASDAQ,2400000000.0
18,AAON,"AAON, Inc.",NASDAQ,2490000000.0
19,ABEO,Abeona Therapeutics Inc.,NASDAQ,123290000.0
20,ABIL,Ability Inc.,NASDAQ,3890000.0
21,ABMD,"ABIOMED, Inc.",NASDAQ,8270000000.0
22,AXAS,Abraxas Petroleum Corporation,NASDAQ,55660000.0
23,ACIU,AC Immune SA,NASDAQ,374970000.0
24,ACIA,"Acacia Communications, Inc.",NASDAQ,2670000000.0
25,ACTG,Acacia Research Corporation,NASDAQ,126840000.0
26,ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,2710000000.0
27,ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,6010000000.0
28,ACAM,Acamar Partners Acquisition Corp.,NASDAQ,375470000.0
29,ACST,"Acasti Pharma, Inc.",NASDAQ,161870000.0
30,AXDX,"Accelerate Diagnostics, Inc.",NASDAQ,950630000.0
31,XLRN,Acceleron Pharma Inc.,NASDAQ,2230000000.0
32,ARAY,Accuray Incorporated,NASDAQ,246810000.0
33,ACRX,"AcelRx Pharmaceuticals, Inc.",NASDAQ,175550000.0
34,ACER,Acer Therapeutics Inc.,NASDAQ,34120000.0
35,ACHV,"Achieve Life Sciences, Inc. ",NASDAQ,11740000.0
36,ACHN,"Achillion Pharmaceuticals, Inc.",NASDAQ,872950000.0
37,ACIW,"ACI Worldwide, Inc.",NASDAQ,3630000000.0
38,ACRS,"Aclaris Therapeutics, Inc.",NASDAQ,73640000.0
39,ACMR,"ACM Research, Inc.",NASDAQ,243830000.0
40,ACNB,ACNB Corporation,NASDAQ,243560000.0
41,ACOR,"Acorda Therapeutics, Inc.",NASDAQ,94770000.0
42,ACTT,Act II Global Acquisition Corp.,NASDAQ,370880000.0
43,ACTTW,Act II Global Acquisition Corp.,NASDAQ,20880000.0
44,ATVI,"Activision Blizzard, Inc",NASDAQ,42390000000.0
45,ADMS,"Adamas Pharmaceuticals, Inc.",NASDAQ,109140000.0
46,ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,45460000.0
47,ADAP,Adaptimmune Therapeutics plc,NASDAQ,93180000.0
48,ADPT,Adaptive Biotechnologies Corporation,NASDAQ,3180000000.0
49,ADUS,Addus HomeCare Corporation,NASDAQ,1100000000.0
50,AEY,"ADDvantage Technologies Group, Inc.",NASDAQ,21450000.0
51,IOTS,Adesto Technologies Corporation,NASDAQ,260709999.99999997
52,ADIL,"Adial Pharmaceuticals, Inc",NASDAQ,15670000.0
53,ADMA,ADMA Biologics Inc,NASDAQ,282950000.0
54,ADBE,Adobe Inc.,NASDAQ,131180000000.0
55,ADTN,"ADTRAN, Inc.",NASDAQ,448130000.0
56,ADRO,"Aduro Biotech, Inc.",NASDAQ,76650000.0
57,ADES,"Advanced Emissions Solutions, Inc.",NASDAQ,259160000.00000003
58,AEIS,"Advanced Energy Industries, Inc.",NASDAQ,2290000000.0
59,AMD,"Advanced Micro Devices, Inc.",NASDAQ,36020000000.0
60,ADXS,"Advaxis, Inc.",NASDAQ,7470000.0
61,ADVM,"Adverum Biotechnologies, Inc.",NASDAQ,483440000.0
62,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,NASDAQ,2150000.0
63,DWSH,AdvisorShares Dorsey Wright Short ETF,NASDAQ,29690000.0
64,ACT,AdvisorShares Vice ETF,NASDAQ,11910000.0
65,AEGN,Aegion Corp,NASDAQ,668550000.0
66,AGLE,"Aeglea BioTherapeutics, Inc.",NASDAQ,215200000.0
67,AEHR,Aehr Test Systems,NASDAQ,40900000.0
68,AMTX,"Aemetis, Inc",NASDAQ,20270000.0
69,AERI,"Aerie Pharmaceuticals, Inc.",NASDAQ,979420000.0
70,AVAV,"AeroVironment, Inc.",NASDAQ,1360000000.0
71,ARPO,"Aerpio Pharmaceuticals, Inc.",NASDAQ,21510000.0
72,AEZS,AEterna Zentaris Inc.,NASDAQ,20880000.0
73,AEMD,"Aethlon Medical, Inc.",NASDAQ,89540000.0
74,GNMX,"Aevi Genomic Medicine, Inc.",NASDAQ,8710000.0
75,AFMD,Affimed N.V.,NASDAQ,176710000.0
76,AFYA,Afya Limited,NASDAQ,2260000000.0
77,AGBA,AGBA Acquisition Limited,NASDAQ,59150000.0
78,AGBAU,AGBA Acquisition Limited,NASDAQ,61180000.0
79,AGEN,Agenus Inc.,NASDAQ,330920000.0
80,AGRX,"Agile Therapeutics, Inc.",NASDAQ,65830000.0
81,AGYS,"Agilysys, Inc.",NASDAQ,606090000.0
82,AGIO,"Agios Pharmaceuticals, Inc.",NASDAQ,1930000000.0
83,AGMH,AGM Group Holdings Inc.,NASDAQ,446780000.0
84,AGNC,AGNC Investment Corp.,NASDAQ,9060000000.0
85,AGNCB,AGNC Investment Corp.,NASDAQ,8900000000.0
86,AGNCN,AGNC Investment Corp.,NASDAQ,335530.0
87,AGNCO,AGNC Investment Corp.,NASDAQ,238760000.0
88,AGFS,"AgroFresh Solutions, Inc.",NASDAQ,119860000.0
89,ALRN,"Aileron Therapeutics, Inc.",NASDAQ,12630000.0
90,AIMT,"Aimmune Therapeutics, Inc.",NASDAQ,1760000000.0
91,AIRT,"Air T, Inc.",NASDAQ,59640000.0
92,ATSG,"Air Transport Services Group, Inc",NASDAQ,1280000000.0
93,AIRG,"Airgain, Inc.",NASDAQ,102980000.0
94,ANTE,AirNet Technology Inc.,NASDAQ,13700000.0
95,AKAM,"Akamai Technologies, Inc.",NASDAQ,14610000000.0
96,AKTX,Akari Therapeutics Plc,NASDAQ,36120000.0
97,SONG,Akazoo S.A.,NASDAQ,246690000.0
98,SONGW,Akazoo S.A.,NASDAQ,3830000.0
99,AKCA,"Akcea Therapeutics, Inc.",NASDAQ,1730000000.0
100,AKBA,"Akebia Therapeutics, Inc.",NASDAQ,477830000.0
101,KERN,Akerna Corp.,NASDAQ,57090000.0
102,AKRO,"Akero Therapeutics, Inc.",NASDAQ,599380000.0
103,AKER,Akers Biosciences Inc.,NASDAQ,5040000.0
104,AKRX,"Akorn, Inc.",NASDAQ,590350000.0
105,AKTS,"Akoustis Technologies, Inc.",NASDAQ,255170000.0
106,ALRM,"Alarm.com Holdings, Inc.",NASDAQ,2370000000.0
107,ALSK,"Alaska Communications Systems Group, Inc.",NASDAQ,87790000.0
108,ALAC,Alberton Acquisition Corporation,NASDAQ,150720000.0
109,ALBO,"Albireo Pharma, Inc.",NASDAQ,221230000.0
110,ABDC,Alcentra Capital Corp.,NASDAQ,115110000.0
111,ALDX,"Aldeyra Therapeutics, Inc.",NASDAQ,161060000.0
112,ALEC,"Alector, Inc.",NASDAQ,1100000000.0
113,ALRS,Alerus Financial Corporation,NASDAQ,374120000.0
114,ALXN,"Alexion Pharmaceuticals, Inc.",NASDAQ,23580000000.0
115,ALCO,"Alico, Inc.",NASDAQ,237010000.0
116,ALGN,"Align Technology, Inc.",NASDAQ,19440000000.0
117,ALIM,"Alimera Sciences, Inc.",NASDAQ,26050000.0
118,ALYA,Alithya Group inc.,NASDAQ,133699999.99999999
119,ALJJ,"ALJ Regional Holdings, Inc.",NASDAQ,50310000.0
120,ALKS,Alkermes plc,NASDAQ,3070000000.0
121,ALLK,Allakos Inc.,NASDAQ,3400000000.0
122,ABTX,"Allegiance Bancshares, Inc.",NASDAQ,718750000.0
123,ALGT,Allegiant Travel Company,NASDAQ,2710000000.0
124,ALGR,Allegro Merger Corp.,NASDAQ,194030000.0
125,ALNA,"Allena Pharmaceuticals, Inc.",NASDAQ,132820000.0
126,ARLP,"Alliance Resource Partners, L.P.",NASDAQ,1750000000.0
127,LNT,Alliant Energy Corporation,NASDAQ,12630000000.0
128,AESE,"Allied Esports Entertainment, Inc.",NASDAQ,109210000.0
129,AHPI,"Allied Healthcare Products, Inc.",NASDAQ,5040000.0
130,AMOT,"Allied Motion Technologies, Inc.",NASDAQ,357110000.0
131,ALLO,"Allogene Therapeutics, Inc.",NASDAQ,3550000000.0
132,ALLT,Allot Ltd.,NASDAQ,254200000.0
133,MDRX,"Allscripts Healthcare Solutions, Inc.",NASDAQ,1830000000.0
134,ALNY,"Alnylam Pharmaceuticals, Inc.",NASDAQ,9930000000.0
